,Does this have case report-style information (Y)? Or is it a different type of article (N),Do you think there might be a figure in this which has patient neuroimaging? (Y/N),"Do you think this has ruled out transient global amnesia, reversible amnesia symptom, drug use, toxicity, epilepsy-related confusion, psychological/psychiatric/functional amnesia? (Y/N)",Do you think this examined both retrograde and anterograde amnesia?,"Do you think there was a good description of the amnesia severity, either qualitatively or quantitatively? (Y/N)",Do you think this did not have global cognitive impairment disproportionate to memory loss? (Y/N),Do you think this was unrelated to focal/global brain atrophy? (Y/N),Do you think this represents a typical case of amnesia
Calabrese et al. - Right temporofrontal cortex as critical locus for _OCR.txt,1,1,1,1,1,1,1,1
Graff-Radford et al. - DIENCEPHALIC AMNESIA_OCR.txt,1,1,1,1,1,1,1,1
Levine et al. - Episodic memory and the self in a case of isolated_OCR.txt,1,1,1,1,1,1,1,1
Mccarthy and Warrington - ACTORS BUT NOT SCRIPTS THE DISSOCIATION OF PEOPLE_OCR.txt,1,1,1,1,1,1,1,1
Solcà et al. - 2015 - Impairment of semantic memory after basal forebrai_OCR.txt,1,1,1,1,1,1,1,1
Arai - 2006 - Severe amnesia after a restricted lesion in the le_OCR.txt,1,1,1,1,1,1,1,1
Guberman and Stuss - The syndrome of bilateral paramedian thalamic infa_OCR.txt,1,1,1,1,1,1,1,1
Reed and Squire - 1998 - Retrograde Amnesia for Facts and Events Findings _OCR.txt,1,1,1,1,1,1,1,1
Maeshima et al. - 2014 - Memory impairment caused by cerebral hematoma in t_OCR.txt,1,1,1,1,1,1,1,1
Carrasco et al. - 2010 - Spontaneous acute hemorrhage within a subependymom_OCR.txt,1,1,1,1,1,1,1,1
Hodges-1993-Autobiographical-nokamnesia-resulti_OCR.txt,1,1,1,1,1,1,1,1
Hodges and Carpenter - 1991 - Anterograde amnesia with fornix damage following r_OCR.txt,1,1,1,1,1,1,1,1
Persistent global amnesia following right thalamic stroke an 11-year longitudinal study_OCR.txt,1,1,1,1,1,1,1,1
Clarke et al. - Pure amnesia after unilateral left polar thalamic _OCR.txt,1,1,1,1,1,1,1,1
