,How affected is this study by selection bias? Little (Good). Very (Bad). Unsure (Unclear).,How well was the timeline of lesion/symptom onset described? (Good/Bad/Unclear),How affected is this case by attribution error? Little (Good). Very (Bad). Unsure (Unclear).,How reasonable is the attribution of the lesion/diagnosis to the symptom? (Good/Bad/Unclear),How well was the patients baseline pre-lesion described? (Good/Bad/Unclear),How well was the patients outcome post-lesion described? (Good/Bad/Unclear),Do you think the neuroimaging was taken within temporal proximity to the lesion? Days-weeks (Good). Months-years (Bad). Unsure (Unclear).,Do you think another practitioner would come to the same conclusion (diagnosis/attribution) that this group did? (Good/Bad/Unclear),How is the quality of this case overall? (Good/Bad/Unclear)
Mosimann et al. - 2012 - Fornix infarction and Korsakoff dementia after coi_OCR.txt,,,,1,,,,,
Parkin - IMPAIRMENT OF MEMORY FOLLOWING DISCRETE THALAMIC I_OCR.txt,,,,,,1,,,
"Amnesia after right frontal subcortical lesion, following removal of a colloid cyst of the septum pellucidum and third ventricle_OCR.txt",,,,,,,,,
Yasuda et al. - DISSOCIATION BETWEEN SEMANTIC AND AUTOBIOGRAPHIC M_OCR.txt,,1,,2,1,1,,1,
Kapur et al. - 1996 - Anterograde but not retrograde memory loss followi_OCR.txt,,1,,1,,,1,1,
Osawa et al. - 2006 - Neuropsychological deficits associated with a tumo_OCR.txt,,,,,,1,,,1
Markowitsch et al. - 1990 - Verbal Memory Deterioration After Unilateral Infar_OCR.txt,,1,,1,1,1,,1,1
Chan et al. - 2007 - Extensive and Temporally Ungraded Retrograde Amnes_OCR.txt,,1,,1,,1,1,1,
Asiri et al. - 2021 - Polyneuropathy and Korsakoff syndrome complicating_OCR.txt,,,,,,,,,
Iizuka et al. - 2007 - Severe Amnesic Syndrome and Collecting Behavior Af_OCR.txt,,,,1,,,,,
Snyder et al. - 2020 - Artery of Percheron infarction with persistent amn_OCR.txt,,2,,2,,1,1,1,1
Graff-Radford et al. - DIENCEPHALIC AMNESIA_OCR.txt,1,,,2,,2,,,
Takahashi et al. - 2016 - Amnesia as a result of symmetrical infarction of t_OCR.txt,,,,,,,,,
Markowitsch et al. - 1993 - Mnestic performance profile of a bilateral diencep_OCR.txt,,1,,3,,,,1,
Levine et al. - Episodic memory and the self in a case of isolated_OCR.txt,,1,,5,1,2,,,1
Azevedo Kauppila et al. - 2018 - Memory impairment due to bilateral fornix infarcti_OCR.txt,,1,,,,,1,,
Ernst et al. - 2016 - Autobiographical memory and the self in a single-c_OCR.txt,,1,,1,1,,1,,
Park et al. - 2000 - Memory deficits after bilateral anterior fornix in_OCR.txt,,,,1,,1,,1,
Dromerick et al. - 1997 - Simultaneous bilateral thalamic hemorrhages follow_OCR.txt,,1,,1,,1,1,,
Murr et al. - 2012 - Selective Infarction of the Anterior Genu Fornices_OCR.txt,,,,,,,,,
Mccarthy and Warrington - ACTORS BUT NOT SCRIPTS THE DISSOCIATION OF PEOPLE_OCR.txt,,,,,,,,,
Goldenberg et al. - 1999 - Basal forebrain amnesia does the nucleus accumben_OCR.txt,,,,2,,,,,
