,Does the patient(s) represent(s) the whole experience of the investigator (center) or is the selection method unclear to the extent that other patients with similar presentation may not have been reported? (Good/Bad/Unclear),Was patients causal exposure clearly described? (Good/Bad/Unclear),Were diagnostic tests or assessment methods and the results clearly described (amnesia tests)? (Good/Bad/Unclear),Were other alternative causes that may explain the observation (amnesia) ruled out? (Good/Bad/Unclear),"Were patients demographics, medical history, comobidities clearly described? (Good/Bad/Unclear)","Were patients symptoms, interventions, and clinical outcomes clearly presented as a timeline? (Good/Bad/Unclear)",Was the lesion image taken around the time of observation (amnesia) assessment? (Good/Bad/Unclear),Is the case(s) described with sufficient details to allow other investigators to replicate the research or to allow practitioners make inferences related to their own practice? (Good/Bad/Unclear)
Mosimann et al. - 2012 - Fornix infarction and Korsakoff dementia after coi_OCR.txt,,,,,,,,
Parkin - IMPAIRMENT OF MEMORY FOLLOWING DISCRETE THALAMIC I_OCR.txt,,,1.0,,,,,
"Amnesia after right frontal subcortical lesion, following removal of a colloid cyst of the septum pellucidum and third ventricle_OCR.txt",,,,,,,1.0,
Yasuda et al. - DISSOCIATION BETWEEN SEMANTIC AND AUTOBIOGRAPHIC M_OCR.txt,,1,1.0,,1.0,,1.0,
Kapur et al. - 1996 - Anterograde but not retrograde memory loss followi_OCR.txt,,0,2.0,0.0,1.0,,2.0,
Calabrese et al. - Right temporofrontal cortex as critical locus for _OCR.txt,,,1.0,,,,,
Osawa et al. - 2006 - Neuropsychological deficits associated with a tumo_OCR.txt,,,1.0,,1.0,,,
Caglio et al. - 2012 - Virtual navigation for memory rehabilitation in a _OCR.txt,,1,1.0,,,,1.0,
Kroll et al. - Retrieval of old memories the temporofrontal hypo_OCR.txt,,3,4.0,,,,1.0,
Markowitsch et al. - 1990 - Verbal Memory Deterioration After Unilateral Infar_OCR.txt,,1,1.0,,,,,
Chan et al. - 2007 - Extensive and Temporally Ungraded Retrograde Amnes_OCR.txt,,,2.0,,,1,1.0,
Asiri et al. - 2021 - Polyneuropathy and Korsakoff syndrome complicating_OCR.txt,,,,1.0,1.0,,,
Iizuka et al. - 2007 - Severe Amnesic Syndrome and Collecting Behavior Af_OCR.txt,,,1.0,,,,1.0,
Snyder et al. - 2020 - Artery of Percheron infarction with persistent amn_OCR.txt,,0,,,,,,
Graff-Radford et al. - DIENCEPHALIC AMNESIA_OCR.txt,,,1.0,,,,,
Takahashi et al. - 2016 - Amnesia as a result of symmetrical infarction of t_OCR.txt,,,,,,,,
Markowitsch et al. - 1993 - Mnestic performance profile of a bilateral diencep_OCR.txt,,0,3.0,,,,1.0,
Levine et al. - Episodic memory and the self in a case of isolated_OCR.txt,1.0,1,3.0,,,,,
Azevedo Kauppila et al. - 2018 - Memory impairment due to bilateral fornix infarcti_OCR.txt,,,,,,,1.0,
Ernst et al. - 2016 - Autobiographical memory and the self in a single-c_OCR.txt,,,2.0,1.0,1.0,,2.0,
Park et al. - 2000 - Memory deficits after bilateral anterior fornix in_OCR.txt,,,,,,,,
Dromerick et al. - 1997 - Simultaneous bilateral thalamic hemorrhages follow_OCR.txt,,,1.0,,,1,,1.0
Murr et al. - 2012 - Selective Infarction of the Anterior Genu Fornices_OCR.txt,,,,,,,,
Mccarthy and Warrington - ACTORS BUT NOT SCRIPTS THE DISSOCIATION OF PEOPLE_OCR.txt,,,1.0,,,,1.0,
Goldenberg et al. - 1999 - Basal forebrain amnesia does the nucleus accumben_OCR.txt,1.0,,2.0,,1.0,,2.0,1.0
Buccione et al. - 2008 - Retrograde episodic and semantic memory impairment_OCR.txt,,,1.0,,,,,
A case of _borrowed identity syndrome_ after severe traumatic brain injury._OCR.txt,,1,,,,,,
Fertl et al. - 1997 - Persistent amnesic syndrome as long-term outcome o_OCR.txt,,0,1.0,,,1,,
Park et al. - 2007 - Selective anterograde amnesia with thalamus and hi_OCR.txt,,,,,1.0,1,1.0,
Morris et al. - AMNESIA FOLLOWING A DISCRETE BASAL FOREBRAIN LESIO_OCR.txt,,1,2.0,,,,1.0,
Abbate et al. - 2012 - Delusion of inanimate doubles Description of a ca_OCR.txt,,,1.0,,,,,
Jamjoom et al. - 2017 - Autobiographical memory loss following a right pre_OCR.txt,,,,,,,,
Grilli et al. - 2018 - The contribution of the left anterior ventrolatera_OCR.txt,,,,,1.0,,1.0,
Male and Zand - 2017 - Isolated Mammillary Body Infarct Causing Global Am_OCR.txt,,,,,,,,
Wheatley and McGrath - 1997 - Co-Occurrence of Executive Impairment and Amnesic _OCR.txt,,,1.0,,,,,
Alcalay and Smith - 2009 - MRI Showing White Matter Lesions and Multiple Loba_OCR.txt,,,,,,1,1.0,
Amuluru et al. - 2015 - Acute Amnesia due to Isolated Mammillary Body Infa_OCR.txt,,,,,,,,
Honda et al. - P300 abnormalities in patients with selective impa_OCR.txt,,,,,,,,
Cachia et al. - 2011 - Selective cognitive patterns resulting from bilate_OCR.txt,,1,1.0,1.0,,,1.0,
Korematsu et al. - 2010 - Memory impairment due to a small unilateral infarc_OCR.txt,,,,,,,1.0,
Peru and Fabbro - 1997 - Thalamic Amnesia Following Venous Infarction Evid_OCR.txt,,,2.0,,,,1.0,
Schapiro et al. - 2014 - The Necessity of the Medial Temporal Lobe for Stat_OCR.txt,,3,,,1.0,,1.0,
Oishi et al. - 2019 - Pure topographical disorientation in novel environ_OCR.txt,,,3.0,1.0,,,,
Solcà et al. - 2015 - Impairment of semantic memory after basal forebrai_OCR.txt,,,1.0,1.0,,,1.0,
Park et al. - 2007 - Amnesic Syndrome in a Mammillothalamic Tract Infar_OCR.txt,,,,,,,,
Gainotti et al. - 1998 - Retrograde amnesia in a patient with retrosplenial_OCR.txt,,,1.0,,,,1.0,
Wank et al. - 2022 - Autobiographical memory unknown Pervasive autobio_OCR.txt,,,2.0,,1.0,,,
Arai - 2006 - Severe amnesia after a restricted lesion in the le_OCR.txt,,,,,,,,
Gentilini et al. - 1987 - Bilateral paramedian thalamic artery infarcts rep_OCR.txt,,,,,,,,
Ruggeri - 2016 - Left Dorsomedial Thalamic Damage Impairs Verbal Re_OCR.txt,,,2.0,,,,1.0,
Miller et al. - 2001 - Right medial thalamic lesion causes isolated retro_OCR.txt,,,2.0,,1.0,1,,1.0
Collinson et al. - 2009 - Injury and recovery Severe amnestic syndrome foll_OCR.txt,,0,,,,,1.0,
Carlesimo et al. - ANALYSIS OF THE MEMORY IMPAIRMENT IN A POST-ENCEPH_OCR.txt,,1,2.0,,1.0,1,1.0,1.0
Kwan et al. - 2013 - Dissociations in future thinking following hippoca_OCR.txt,,,,,,,,
Hashimoto et al. - 2000 - Amnesic confabulatory syndrome after focal basal f_OCR.txt,,,1.0,1.0,,,1.0,
von Cramon and Schuri - 1992 - The Septo-Hippocampal Pathways and Their Relevance_OCR.txt,,,2.0,,,,1.0,
Von Cramon et al. - 1985 - A CONTRIBUTION TO THE ANATOMICAL BASIS OF THALAMIC_OCR.txt,,,,,,,,
Baird and Robinson - 2018 - Novel cognitive insights from the first year after_OCR.txt,,1,2.0,,1.0,1,2.0,1.0
Hirayama - 2003 - Limbic encephalitis presenting with topographical _OCR.txt,,,1.0,1.0,,,,
Stuss et al. - 1988 - The neuropsychology of paramedian thalamic infarct_OCR.txt,,,1.0,,1.0,,,
Guberman and Stuss - The syndrome of bilateral paramedian thalamic infa_OCR.txt,,,1.0,,,1,,
Persistent Klüver-Bucy syndrome after bilateral thalamic infarction._OCR.txt,,,1.0,,1.0,,1.0,
Markowitsch et al. - 1993 - Retrograde amnesia after traumatic injury of the f_OCR.txt,,,1.0,,,,,
Beglinger_OCR.txt,,,2.0,,2.0,,2.0,
Caulo et al. - 2005 - Functional MRI study of diencephalic amnesia in We_OCR.txt,,,1.0,,,,2.0,
1-s2.0-S0278262683710110-main_OCR.txt,,,1.0,,1.0,1,,
Di Gennaro et al. - 2006 - Severe amnesia following bilateral medial temporal_OCR.txt,,,1.0,,1.0,1,,
Clinical case report memory functions after anterior communicating artery aneurysm rupture_OCR.txt,,,1.0,,,,,
"Brown et al. - 2016 - Isolated, relative aproverbia without focal lesion_OCR.txt",,,1.0,,,,2.0,
Kapur and Brooks - 1999 - Temporally-specific retrograde amnesia in two case_OCR.txt,,,2.0,,1.0,,2.0,
Mori et al. - 1986 - Left thalamic infarction and disturbance of verbal_OCR.txt,,,2.0,,,,1.0,
Reed and Squire - 1998 - Retrograde Amnesia for Facts and Events Findings _OCR.txt,,2,3.0,,1.0,,,
Fujii et al. - DISPROPORTIONATE RETROGRADE AMNESIA IN A PATIENT W_OCR.txt,,1,1.0,,,,1.0,
Kartsounis et al. - Bilateral lesions of CAl and CA2 fields of the hip_OCR.txt,,,1.0,,,,,
Grewal - 2003 - Severe amnesia following a unilateral temporal lob_OCR.txt,,,1.0,,1.0,,1.0,1.0
Amnestic disturbance following infarction of the left dorsomedial nucleus of the thalamus_OCR.txt,,,1.0,,,,,
Maeshima et al. - 2014 - Memory impairment caused by cerebral hematoma in t_OCR.txt,,,2.0,,,2,2.0,
Siegert and Warrington - 1996 - Spared Retrograde Memory with Anterograde Amnesia _OCR.txt,,,1.0,,,,,
Ouellet et al. - 2008 - Two Routes to Losing One’s Past Life A Brain Trau_OCR.txt,,2,,,,,,
Yoon et al. - 2008 - Retrograde Amnesia Associated with Fornix Lymphoma_OCR.txt,,,1.0,,,1,1.0,
Carrasco et al. - 2010 - Spontaneous acute hemorrhage within a subependymom_OCR.txt,,,,,,,,
Valenstein et al. - 1987 - RETROSPLENIAL AMNESIA_OCR.txt,,1,2.0,1.0,,,,
Robertus et al. - 2010 - MiRNA profiling in B non-Hodgkin lymphoma a MYC-r_OCR.txt,,0,,,,,,
Hodges-1993-Autobiographical-nokamnesia-resulti_OCR.txt,1.0,,3.0,,,,,
Edelstyn et al. - Contribution of the Left Dorsomedial Thalamus to R_OCR.txt,,,1.0,,,Unidentified,,
Kapur et al. - 1992 - FOCAL RETROGRADE AMNESIA FOLLOWING BILATERAL TEMPO_OCR.txt,,1,1.0,,1.0,,,
Right-hemispheric fronto-temporal injury leading to severe autobiographical retrograde and moderate anterograde episodic amnesia-Implications for the anatomy of memory_OCR.txt,,2,1.0,,,,,
"Ogden - 1993 - Visual object agnosia, prosopagnosia, achromatopsi_OCR.txt",,2,1.0,,1.0,,,
Hodges and Carpenter - 1991 - Anterograde amnesia with fornix damage following r_OCR.txt,,,2.0,,,,1.0,
Anterograde amnesia and fornix infarction._OCR.txt,,,,,1.0,,,
Persistent global amnesia following right thalamic stroke an 11-year longitudinal study_OCR.txt,,,3.0,,,,1.0,
Kataoka et al. - 2008 - Limbic Encephalitis With Involvement of Prefrontal_OCR.txt,,,1.0,,,1,1.0,
Futamura et al. - 2018 - Singular case of the driving instructor Temporal _OCR.txt,,,1.0,,,,,
Adamovich et al. - 2009 - Teaching NeuroImages Amnesia due to fornix infarc_OCR.txt,,,,,,,,
Malamut et al. - Memory in a case of bilateral thalarnic infarction_OCR.txt,,,1.0,,1.0,1,,
Peters et al. - 2008 - Postoperative amnesic state with impairment of sta_OCR.txt,,,,,,,,
Vann et al. - 2008 - Memory loss resulting from fornix and septal damag_OCR.txt,,1,5.0,1.0,1.0,2,2.0,1.0
Tsukiura et al. - 2003 - Preserved ability to recognize keywords related to_OCR.txt,,,1.0,,,,,
Clarke et al. - Pure amnesia after unilateral left polar thalamic _OCR.txt,,1,2.0,,,1,1.0,
